상호명,지점명,상권업종대분류명,대분류코드명,상권업종중분류명,중분류코드명,상권업종소분류명,시도코드,시도명,시군구코드,시군구명,행정동명,법정동명,도로명주소,전화변호,영업시간,위도,경도,일층,경사로,입구턱,입구문턱,테이블석,화장실턱,화장실문턱,장애인화장실,엘리베이터,주차장,장애인주차장,테이크아웃
스타벅스,공덕점,카페,C,카페,C1,카페,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 마포대로 130,1522-3232,,37.545937,126.952967,Y,N,N,N,Y,N,N,Y,N,N,N,Y
투썸플레이스,공덕풍림빌딩점,카페,C,카페,C1,카페,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 마포대로 127 103호 투썸플레이스,0507-1374-3992,,37.5462804667157,126.952184455111,Y,N,Y,N,Y,N,N,N,N,N,N,Y
영광보쌈,,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 만리재로1길 14,02-716-0873,,37.5452446350408,126.952974393225,Y,N,Y,N,Y,N,N,N,N,N,N,N
뚜띠쿠치나,마포공덕점,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 마포대로12길 58 1층~2층 뚜띠쿠치나 마포공덕점,0507-1484-3356,,37.5463106056903,126.954348611964,Y,Y,N,N,Y,N,N,N,N,N,N,N
마포진짜원조최대포,본점,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 만리재로1길 1-2 1층,0507-1333-9293,,37.544521182626,126.951979067555,Y,Y,Y,N,Y,N,N,N,N,N,N,N
롯데나루,,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 마포대로 109 2층 나루뷔페,02-6009-1090,,37.5446962035358,126.95034949314159 ,N,Y,N,N,Y,N,N,Y,Y,N,N,N
락희옥,,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 백범로 170 공덕더샵아파트 101동 1층 1호,0507-1444-9797,,37.5442519535527,126.94915598751868 ,Y,N,N,N,Y,N,N,N,N,N,N,N
양산도,공덕점,음식점,R,한식,R1,족발,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 백범로 152 공덕파크자이 101동 4호,0507-1496-1057,,37.5447358447637,126.948244743809,Y,N,N,N,Y,N,N,N,N,N,N,N
뚜레쥬르,공덕역점,카페,C,카페,C1,카페,11,서울특별시,11650,마포구,공덕동,공덕동,서울 마포구 백범로 178,02-2123-9999,,37.5440225324007,126.949936920241,Y,N,N,N,Y,N,N,N,N,N,N,Y
메가MGC커피,서울공덕초교점,카페,C,카페,C1,카페,11,서울특별시,11650,마포구,신공덕동,신공덕동,서울 마포구 만리재옛길 6 1층,0507-1397-5541,,37.5448307292588,126.954386290513,Y,N,Y,N,Y,N,N,N,N,N,N,Y
